iter	RMSE
134	0.4399850194
135	0.4398473632
136	0.4397857621
137	0.4397283991
138	0.4396706341
139	0.4396474982
140	0.4395811643
141	0.4394942277
142	0.4393782761
143	0.4391195109
144	0.4389896808
145	0.4388438414
146	0.4386624395
147	0.4386132458
148	0.4384904515
149	0.4384715583
150	0.4383036505
151	0.4381311167
152	0.4379760697
153	0.4378168325
154	0.437668445
155	0.4376015957
156	0.4375147349
157	0.4373951014
158	0.4373541024
159	0.4371479592
160	0.4370722731
161	0.4370126915
162	0.4368229952
163	0.4366868834
164	0.4365516698
165	0.4363953665
166	0.4362880427
167	0.4361734122
168	0.4360203485
169	0.435938259
170	0.4358633671
171	0.4358285441
172	0.4357774744
173	0.4356913167
174	0.4356530405
175	0.4355791084
176	0.4354043479
177	0.4353585899
178	0.4352307116
179	0.4350766361
180	0.4350449602
181	0.4349954853
182	0.4349335127
183	0.4348462442
184	0.4347695746
185	0.4346397383
186	0.4345868854
187	0.4344294602
188	0.4343667407
189	0.4343152273
190	0.4342528752
191	0.434186364
192	0.4340803843
193	0.4339921302
194	0.4339659271
195	0.4339464447
196	0.4338180734
197	0.4337055737
198	0.4336281266
199	0.4336098736
200	0.4335925604
201	0.4334927536
202	0.4334084756
203	0.4333285567
204	0.4332970651
205	0.4331847316
206	0.4331547419
207	0.433103748
208	0.4330248381
209	0.4329765327
210	0.4329350229
211	0.432853028
212	0.4328375162
213	0.4327903127
214	0.4327180368
215	0.4326047064
216	0.4324979676
217	0.432469486
218	0.4324515015
219	0.4323952468
220	0.4323820117
221	0.432346035
222	0.4322768433
223	0.4322392699
224	0.4322165686
225	0.4321697909
226	0.4320976357
227	0.4320445765
228	0.4319630331
229	0.4318945799
230	0.4318292475
231	0.4317198655
232	0.4316260881
233	0.4315748215
234	0.4315111443
235	0.431408926
236	0.4313640206
237	0.4312143004
238	0.4311970922
239	0.4311088837
240	0.4309772056
241	0.4309241695
242	0.4308314934
243	0.4307454365
244	0.4306427828
245	0.4306210476
246	0.4305546584
247	0.4304590079
248	0.4304065893
249	0.4303873092
250	0.4303338202
251	0.4302405312
252	0.4301816205
253	0.4301051432
254	0.4300565038
255	0.4299874089
256	0.4299080443
257	0.4298203196
258	0.4297456001
259	0.4296625097
260	0.4295714886
261	0.4294956394
262	0.4294472936
263	0.4293819045
264	0.429341436
265	0.4292372864
266	0.4292070453
267	0.4291533712
268	0.4290476263
269	0.4290334874
270	0.428957287
271	0.4288776741
272	0.428820947
273	0.428757386
274	0.4286457948
275	0.4286005917
276	0.4285348326
277	0.4284965797
278	0.4284238485
279	0.4282683901
280	0.4281901237
281	0.4281139019
282	0.4280512696
283	0.428006424
284	0.4278858154
285	0.4278218056
286	0.4277818496
287	0.4277375921
288	0.4276633947
289	0.4276078867
290	0.4275699206
291	0.4275344998
292	0.4274851682
293	0.427386147
294	0.4273028681
295	0.4272670878
296	0.4272306493
297	0.4270973597
298	0.4270261241
299	0.4269904819
300	0.4268578519
301	0.4267043535
302	0.4266661571
303	0.4266075272
304	0.4265787951
305	0.4265386805
306	0.4264495168
307	0.4263885485
308	0.4263463571
309	0.4263176949
310	0.4262411303
311	0.4262137423
312	0.4261640076
313	0.4260951921
314	0.4260502315
315	0.4259930416
316	0.425957479
317	0.4259251142
318	0.4258487387
319	0.4257646627
320	0.4256963949
321	0.4256522254
322	0.4255605776
323	0.4254887339
324	0.4253948309
325	0.4253597922
326	0.4252811652
327	0.425242147
328	0.4251780885
329	0.425148225
330	0.4250420563
331	0.4250154798
332	0.4249841715
333	0.4249413693
334	0.4248568925
335	0.424804166
336	0.424777138
337	0.424686618
338	0.4246357905
339	0.4245893538
340	0.4245342663
341	0.4244542393
342	0.4243907626
343	0.4243468076
344	0.4242912671
345	0.424215282
346	0.4241771671
347	0.4241538102
348	0.4240729473
349	0.4240609876
350	0.4240148991
351	0.4239954691
352	0.4239300072
353	0.4238574609
354	0.4238107307
355	0.4237881502
356	0.4237603684
357	0.4237196948
358	0.4236372144
359	0.4235716753
360	0.4235553079
361	0.4234871487
362	0.4234606829
363	0.4234010962
364	0.4233568756
365	0.4233033769
366	0.4232457852
367	0.4232000618
368	0.4231609768
369	0.4231051883
370	0.423047019
371	0.4230183599
372	0.4229562105
373	0.422913743
374	0.4228693955
375	0.4228229626
376	0.4227690307
377	0.422717386
378	0.4226623818
379	0.4226348776
380	0.4226265564
381	0.4225616471
382	0.4224788174
383	0.4224381483
384	0.4224053891
385	0.4223780775
386	0.4223273905
387	0.4223053365
388	0.4222513508
389	0.4222285251
390	0.4222095599
391	0.4221011631
392	0.4220156811
393	0.4219678933
394	0.4219175159
395	0.4218138124
396	0.4217873514
397	0.4216934172
398	0.4216380153
399	0.4215124862
400	0.4214610427
401	0.4213770834
402	0.42136002
403	0.4213039669
404	0.4212437772
405	0.4211692243
406	0.4211059941
407	0.421092613
408	0.4210443056
409	0.42097745
410	0.4209219719
411	0.4208782069
412	0.4208347817
413	0.4207810928
414	0.4207486313
415	0.4207219775
416	0.4206837043
417	0.4206681697
418	0.420602682
419	0.4205571739
420	0.4205269142
421	0.4204826133
422	0.4204444888
423	0.42043318
424	0.4203989808
425	0.4203682116
426	0.420331736
427	0.4202883263
428	0.4202275841
429	0.4202092336
430	0.4201535545
431	0.420134633
432	0.4201239343
433	0.4200387334
434	0.4199088098
435	0.4198405243
436	0.4197830442
437	0.4197460861
438	0.4197361816
439	0.4196955453
440	0.4196570873
441	0.4196134339
442	0.4195827344
443	0.4195567333
444	0.4194994674
445	0.4194531158
446	0.4194398002
447	0.4193554117
448	0.4193188035
449	0.4192449052
450	0.4192293416
451	0.4191997981
452	0.4191002044
453	0.4190819341
454	0.418965931
455	0.4189620961
456	0.4189199981
457	0.4188773738
458	0.4188339045
459	0.418777343
460	0.4187274937
461	0.4186742347
462	0.4186506647
463	0.4185927937
464	0.4185275956
465	0.4184589706
466	0.4184093178
467	0.4183665796
468	0.4183544624
469	0.418334396
470	0.4183297688
471	0.4183137364
472	0.418281386
473	0.418264684
474	0.4182143511
475	0.4181443402
476	0.4180609976
477	0.4179818839
478	0.4179509352
479	0.4179318635
480	0.4178890909
481	0.4178362908
482	0.4177753331
483	0.4177352774
484	0.4176737391
485	0.4176569554
486	0.417613965
487	0.4176040581
488	0.4175746469
489	0.4175195708
490	0.417508734
491	0.4174947798
492	0.417461984
493	0.4173907749
494	0.4173062002
495	0.4172768898
496	0.4172277314
497	0.4171610092
498	0.4171242831
499	0.4170713596
500	0.4170384921
501	0.4170143005
502	0.4168925445
503	0.4168381614
504	0.4167980026
505	0.4167792036
506	0.416750556
507	0.4167178215
508	0.4166827881
509	0.4166137051
510	0.4165704471
511	0.4165480849
512	0.4165134715
513	0.4164950128
514	0.4164689467
515	0.4164253536
516	0.4163887753
517	0.4163790311
518	0.4163524768
519	0.4163026433
520	0.4162894634
521	0.4162482699
522	0.4162099379
523	0.4161893941
524	0.4161841793
525	0.4161343575
526	0.4161126673
527	0.416097315
528	0.4160330999
529	0.4159731659
530	0.4159576125
531	0.4159059703
532	0.4158267971
533	0.4158100771
534	0.4157502573
535	0.4157038502
536	0.4156549509
537	0.4156079821
538	0.4155988372
539	0.4155825437
540	0.4155060696
541	0.4154933574
542	0.4154213338
543	0.415377123
544	0.4153296825
545	0.4153130603
546	0.415293053
547	0.4151998351
548	0.415173729
549	0.4151291007
550	0.4151082139
551	0.4150151388
552	0.4150122946
553	0.4149463527
554	0.414940679
555	0.4148923967
556	0.4148598993
557	0.414774172
558	0.4146970136
559	0.4146283577
560	0.4145785533
561	0.4145344079
562	0.4144893346
563	0.414422969
564	0.4143943764
565	0.4143560108
566	0.4142984648
567	0.4142748778
568	0.4142625502
569	0.4141884139
570	0.4141344322
571	0.4140843836
572	0.4140681641
573	0.4140663668
574	0.4140408523
575	0.4139769044
576	0.4139159607
577	0.4138416294
578	0.4137804357
579	0.4137526314
580	0.4137278828
581	0.4136831498
582	0.4136477143
583	0.4136034721
584	0.4135371299
585	0.4135193593
586	0.4134816005
587	0.4134494359
588	0.4133931928
589	0.4133759239
590	0.4133642368
591	0.4133204694
592	0.4133101136
593	0.4132660038
594	0.4131921693
595	0.4131417025
596	0.413095521
597	0.4130667221
598	0.4130338509
599	0.4130057968
600	0.4129179072
601	0.4128786646
602	0.4128730829
603	0.4128213867
604	0.4127705938
605	0.4127587763
606	0.4126959692
607	0.4126838919
608	0.4126557501
609	0.412617784
610	0.4125819812
611	0.4125407829
612	0.4125091467
613	0.4124721432
614	0.4124324199
615	0.4123855618
616	0.4123649741
617	0.4123402538
618	0.4123027985
619	0.4122277934
620	0.4121711041
621	0.412134466
622	0.4121060253
623	0.4120874296
624	0.4120709633
625	0.4120109012
626	0.411971041
627	0.4119505965
628	0.4119099748
629	0.4118942553
630	0.4118791054
631	0.4118737072
632	0.4118437954
633	0.4117840577
634	0.4117336635
635	0.4117147828
636	0.411670046
637	0.4116213605
638	0.4115895944
639	0.4115143104
640	0.4114554077
641	0.4114115929
642	0.4114043651
643	0.4113841286
644	0.4113354423
645	0.4112892371
646	0.4112741806
647	0.4112345604
648	0.4111744231
649	0.4111252385
650	0.4110830774
651	0.4110419836
652	0.4110181809
653	0.4110026912
654	0.4109855571
655	0.4109671359
656	0.4109552541
657	0.4109148313
658	0.4108897669
659	0.410861398
660	0.4108417632
661	0.4108173738
662	0.4107790875
663	0.4107647521
664	0.4107406383
665	0.4106893949
666	0.4106870639
667	0.4106729443
668	0.4106164287
669	0.4105651239
670	0.4105520777
671	0.4105053232
672	0.4104715289
673	0.4104210283
674	0.4104129998
675	0.4103853115
676	0.4103435597
677	0.4103122393
678	0.4102858258
679	0.4102462453
680	0.4102050361
681	0.4101432105
682	0.410081641
683	0.4100487099
684	0.4100275912
685	0.4100014076
686	0.4099974924
687	0.4099338738
688	0.4098680294
689	0.4097929008
690	0.4097707626
691	0.4097602031
692	0.4097174521
693	0.4096597695
694	0.4096163992
695	0.4095578108
696	0.4095282063
697	0.4094767423
698	0.4094559047
699	0.4094296553
700	0.4093924122
701	0.4093618768
702	0.4093449732
703	0.4093029408
704	0.4092549921
705	0.4092208015
706	0.4091846728
707	0.4091366481
708	0.4091225133
709	0.4090759285
710	0.4090541055
711	0.4090352814
712	0.4090061787
713	0.4089735336
714	0.4089685949
715	0.408907325
716	0.4088396201
717	0.4087856073
718	0.4087594697
719	0.4087196733
720	0.408686853
721	0.408625148
722	0.4086208393
723	0.4085807946
724	0.4085246169
725	0.4084879213
726	0.4084549608
727	0.408423374
728	0.4084091271
729	0.4083877537
730	0.408360314
731	0.4083381327
732	0.408321207
733	0.4083064579
734	0.4082675458
735	0.4082242352
736	0.4081983339
737	0.4081527988
738	0.4081248674
739	0.408060353
740	0.4080189868
741	0.4079651572
742	0.4079105641
743	0.4078693821
744	0.4078343024
745	0.4078116905
746	0.4077614902
747	0.4077141944
748	0.4076948288
749	0.4076716614
750	0.4076181746
751	0.4075784527
752	0.4075302367
753	0.4075023424
754	0.4074597722
755	0.4074345756
756	0.4074239391
757	0.4073792119
758	0.4073682425
759	0.4073630718
760	0.4073419889
761	0.4073242961
762	0.4072823294
763	0.4072509674
764	0.4072178422
765	0.4071673545
766	0.4071365867
767	0.40708294
768	0.4070586986
769	0.4070541992
770	0.4070454541
771	0.4069923228
772	0.4069465742
773	0.4069023693
774	0.4068682256
775	0.4068671397
776	0.4068210145
777	0.4067790935
778	0.4067362582
779	0.406676425
780	0.406641257
781	0.4065886147
782	0.4065397223
783	0.4065102009
784	0.4064979946
785	0.4064708326
786	0.4064578314
787	0.4064138139
788	0.4063594699
789	0.4063154368
790	0.4062963205
791	0.4062425338
792	0.4062225974
793	0.4062189806
794	0.4061846719
795	0.4061506451
796	0.4061099947
797	0.4060725532
798	0.4060485265
799	0.4060150444
800	0.4059819017
801	0.4059231898
802	0.405884456
803	0.4058431068
804	0.4057974691
805	0.4057650754
806	0.4057247009
807	0.4056758426
808	0.4056440215
809	0.4056098198
810	0.4055880283
811	0.4055785797
812	0.4055505633
813	0.4055247477
814	0.4054934887
815	0.4054486858
816	0.4054226401
817	0.4053875561
818	0.4053598148
819	0.4052899647
820	0.4052453164
821	0.4052079803
822	0.4051759709
823	0.4051169687
824	0.4050798553
825	0.405049626
826	0.4050249451
827	0.4049768345
828	0.4049377353
829	0.4049161405
830	0.404852027
831	0.4047937607
832	0.4047660226
833	0.4047159398
834	0.4046907002
835	0.4046652373
836	0.4046536304
837	0.404613121
838	0.4045847216
839	0.4045692482
840	0.4045463362
841	0.4045143316
842	0.4044835869
843	0.4044651147
844	0.4044183259
845	0.4044042265
846	0.4043636174
847	0.4043404756
848	0.4043139614
849	0.4042902627
850	0.4042501058
851	0.4042145726
852	0.4041927533
853	0.4041617031
854	0.404130981
855	0.4041015654
856	0.4040816893
857	0.4040544502
858	0.404010204
859	0.403971759
860	0.4039638374
861	0.403949617
862	0.4039242939
863	0.4038975076
864	0.4038858719
865	0.403850934
866	0.4037952288
867	0.4037753331
868	0.4037535325
869	0.403733047
870	0.4036871634
871	0.4036603112
872	0.4036307956
873	0.4035952368
874	0.4035785146
875	0.4035595813
876	0.4035395632
877	0.4035213371
878	0.4035017957
879	0.4034624165
880	0.4034500908
881	0.4034110819
882	0.4033590747
883	0.4033215722
884	0.4032812174
885	0.4032515914
886	0.4032345807
887	0.4031984123
888	0.403173687
889	0.4031309213
890	0.4031200558
891	0.4030843607
892	0.4030544196
893	0.4030130358
894	0.4029907821
895	0.4029635815
896	0.4029551984
897	0.402934297
898	0.4029025875
899	0.4028821554
900	0.4028702807
901	0.402850727
902	0.402821431
903	0.4027973335
904	0.4027701747
905	0.4027457812
906	0.4027234141
907	0.4027148428
908	0.4026876072
909	0.4026800401
910	0.4026678608
911	0.4026522234
912	0.4026168253
913	0.4025735713
914	0.4025634116
915	0.4025399805
916	0.4024865684
917	0.402446699
918	0.4024349347
919	0.4024272406
920	0.4024057733
921	0.4023585354
922	0.4023319958
923	0.402313162
924	0.4023110784
925	0.4022885447
926	0.4022408751
927	0.4022303733
928	0.4021959563
929	0.4021717359
930	0.4021576207
931	0.4021325958
932	0.4021039447
933	0.4020926276
934	0.4020632926
935	0.4020350231
936	0.4020080823
937	0.4019902599
938	0.4019716395
939	0.4019562119
940	0.4019447831
941	0.4019219077
942	0.4018925684
943	0.4018469463
944	0.4018054761
945	0.4017638822
946	0.401723268
947	0.4017094081
948	0.4016795018
949	0.4016607775
950	0.4016357091
951	0.4016204114
952	0.4015977696
953	0.4015548913
954	0.4015242548
955	0.4014938778
956	0.4014780569
957	0.4014564
958	0.4014508072
959	0.4014435736
960	0.4014020355
961	0.4013767468
962	0.4013551255
963	0.4013301195
964	0.4013144298
965	0.401302983
966	0.4012955423
967	0.401278053
968	0.4012769226
969	0.4012758263
970	0.4012536984
971	0.4012256245
972	0.4012008405
973	0.4011681553
974	0.4011518169
975	0.4011403585
976	0.401119251
977	0.4010953344
978	0.401079819
979	0.4010709411
980	0.4010154069
981	0.400963123
982	0.4009533013
983	0.4009318701
984	0.4008956743
985	0.4008643041
986	0.4008479831
987	0.4008156991
988	0.4007872678
989	0.400768684
990	0.4007519307
991	0.4007512696
992	0.4007181315
993	0.4006998751
994	0.400677402
995	0.4006545121
996	0.4005975381
997	0.4005969288
998	0.4005752787
999	0.4005594592
